English,Persian
laser,لیزر
earlier,پیش
manufacturers,تولید کنندگان
sponsor,حامی
classical,کلاسیک
icon,آیکون
warranty,ضمانتنامه
dedicated,اختصاصی
indiana,در ایندیانا
direction,جهت
harry,هری
basketball,بسکتبال
objects,اشیاء
ends,پایان
delete,حذف
evening,شب
assembly,مونتاژ
nuclear,اتمی
taxes,مالیات
mouse,موش
signal,علامت
criminal,جنایی
issued,صادر شده
brain,مغز
sexual,جنسی
wisconsin,وابسته به ویسکانسین
powerful,قدرتمند
dream,رویا
obtained,به دست آمده
FALSE,دروغ
da,دن
cast,قالب
flower,گل
felt,نمد
personnel,پرسنل
passed,گذشت
supplied,تهیه شده
identified,شناخته شده است
falls,سقوط
pic,عکس
soul,روح
aids,ایدز
opinions,نظرات
promote,ترویج
stated,اظهار داشت
stats,آمار
hawaii,هاوایی
professionals,حرفه ای ها
appears,ظاهر می شود
carry,حمل
flag,پرچم
decided,تصمیم گرفت
nj,نیویورک
covers,پوشش
hr,ساعت
em,منزل
advantage,مزیت - فایده - سود - منفعت
hello,سلام
designs,طرح ها
maintain,حفظ
tourism,گردشگرایی
priority,اولویت
newsletters,خبرنامه
adults,بزرگسالان
clips,کلیپ های
savings,پس انداز
iv,من
graphic,گرافیک
atom,اتم
payments,مبلغ پرداختی
rw,RW
estimated,تخمین زده
binding,الزام آور
brief,مختصر
ended,به پایان رسید
winning,برنده
eight,هشت
anonymous,ناشناس
iron,اهن
straight,سر راست
script,فیلمنامه
served,خدمت کرده
wants,خواستن
miscellaneous,متفاوتی
prepared,آماده شده
void,خالی
dining,ناهار خوری
alert,هشدار دادن
integration,ادغام
atlanta,آتلانتا
dakota,داکوتا
tag,نشان
interview,مصاحبه
mix,مخلوط کردن
framework,چارچوب
disk,گرده
installed,نصب شده است
queen,ملکه
vhs,VHS
credits,وام
clearly,به وضوح
fix,ثابت
handle,رسیدگی
sweet,شیرین
desk,میز مطالعه
criteria,شاخص
pubmed,عکسبرداری
dave,دره
massachusetts,ماساچوست
diego,دیگو
hong,هنگ
vice,معاون
associate,وابسته
ne,نه
truck,کامیون
behavior,رفتار - اخلاق
enlarge,بزرگنمایی کنید
ray,اشعه
frequently,مکررا
revenue,درآمد
measure,اندازه گرفتن
changing,متغیر
votes,رای
du,دوتایی
duty,وظیفه
looked,نگاه کرد
discussions,بحث
bear,خرس
gain,کسب کردن
festival,جشنواره
laboratory,آزمایشگاه
ocean,اقیانوس
flights,پروازها
experts,متخصص
signs,علائم
lack,عدم
depth,عمق
iowa,آیووا
whatever,هر چه
logged,از سیستم وارد شده
laptop,لپ تاپ
vintage,پرنعمت پرنعمت
train,قطار - تعلیم دادن
exactly,دقیقا
dry,خشک
explore,کاوش کردن
maryland,مریلند
spa,اسپا
concept,مفهوم
nearly,تقریبا
eligible,واجد شرایط
checkout,وارسی
reality,واقعیت
forgot,یادم رفت
handling,رسیدگی
origin,اصل و نسب
knew,دانستن
gaming,بازی
feeds,فید
billion,میلیارد
destination,مقصد
scotland,اسکاتلند
faster,سریعتر
intelligence,هوش
dallas,دالاس
bought,خریداری شده
con,با هم زدن
ups,غوغا
nations,ملل
route,مسیر
followed,پی در پی
specifications,مشخصات فنی
broken,شکسته شده
tripadvisor,مشاور
frank,صریح
alaska,آلاسکا
zoom,بزرگنمایی
blow,فوت کردن، دمیدن
battle,نبرد
residential,مسکونی
anime,انیمه
speak,صحبت
decisions,تصمیم
industries,صنایع
protocol,پروتکل
query,پرس و جو
clip,گیره
partnership,شراکت
editorial,سرمقاله
nt,NT
expression,اصطلاح
es,es
equity,انصاف
provisions,مقررات
speech,سخن، گفتار
wire,سیم
principles,اصول
suggestions,پیشنهادات
rural,روستایی
shared,مشترک
sounds,صدا
replacement,تعویض
tape,نوار
strategic,راهبردی
judge,داوری
spam,هرزنامه ها
economics,اقتصاد
acid,اسید
bytes,بایت
cent,درصد
forced,وادار کردن
compatible,سازگار
fight,مبارزه کردن
apartment,اپارتمان
height,قد
null,خالی
zero,صفر
speaker,بلندگو
filed,پرونده
gb,GB
netherlands,هلند
obtain,به دست آوردن
bc,قبل از میلاد مسیح
consulting,مشاوره
recreation,تفریح
offices,دفتر
designer,طراح
remain,ماندن
managed,اداره می شود
pr,پیدایش
failed,ناموفق
marriage,ازدواج
roll,غلتک
korea,کشور کره
banks,بانک ها
fr,خط
participants,شركت كنندگان
secret,راز
bath,حمام
aa,در
kelly,کلی
leads,منجر می شود
negative,منفی
austin,اوستین
favorites,نفع
toronto,تورنتو
theater,تئاتر
springs,فنر
missouri,میسوری
andrew,اندرو
var,قارچ
perform,انجام دادن
healthy,سالم
translation,ترجمه
estimates,تخمین
font,قلم
assets,دارایی های
injury,جراحت
mt,مگس
joseph,جوزف
ministry,وزارت
drivers,راننده
lawyer,وکیل
figures,ارقام
married,متاهل
protected,حفاظت شده
proposal,پیشنهاد
sharing,تقسیم
philadelphia,فیلادلفیا
portal,پورتال
waiting,در انتظار
birthday,روز تولد
beta,بتا
fail,شکست
gratis,مجوز
banking,بانکداری
officials,مقامات
brian,برایان
toward,به سمت
won,برنده شد
slightly,اندکی
assist,کمک کردن
conduct,هدایت
contained,حاوی
lingerie,لباس زیر زنانه
shemale,خندق
legislation,قانون گذاری
calling,صدا زدن
parameters,مولفه های
jazz,جاز
serving,خدمت
bags,کیسه
profiles,مشخصات
miami,میامی
comics,طنز
matters,امور
houses,خانه ها
doc,مدافع
postal,پستی
relationships,روابط
tennessee,تنسی
wear,پوشیدن
controls,کنترل
breaking,شکستن
combined,ترکیب شده
ultimate,نهایی
wales,ولز
representative,نماینده
frequency,فرکانس
introduced,معرفی کرد
minor,جزئی
finish,پایان
departments,ادارات
residents,ساکنان
noted,اشاره شد
displayed,نمایش داده
mom,مامان
reduced,کاهش
physics,فیزیک
rare,نادر
spent,خرج
performed,انجام
extreme,مفرط
samples,نمونه ها
davis,دیویس
daniel,دانیل
bars,میله
reviewed,بررسی شده
row,ردیف
oz,اوز
forecast,پیش بینی
removed,حذف شده
helps,کمک
singles,مجرد
administrator,سرپرست
cycle,چرخه
amounts,مقدار
contain,حاوی
accuracy,دقت
dual,دوگانه
rise,بالا آمدن
usd,دلار آمریکا
sleep,خواب
mg,مگس
bird,پرنده
pharmacy,داروخانه
brazil,برزیل
creation,ایجاد
static,ثابت
scene,صحنه
hunter,شکارچی
addresses,آدرس ها
lady,خانم
crystal,کریستال
famous,معروف
writer,نویسنده
chairman,رئيس هیئت مدیره
violence,خشونت
fans,طرفداران
oklahoma,وابسته به اوکلاهما
speakers,سخنران
drink,نوشیدن
academy,دانشکده
dynamic,پویا
gender,جنس
eat,خوردن
permanent,دائمی
agriculture,کشاورزی
dell,دله
cleaning,تمیز کردن
constitutes,تشکیل دادن
portfolio,نمونه کارها
practical,کاربردی
delivered,تحویل داده شده
collectibles,جمع
infrastructure,زیر ساخت
exclusive,انحصاری
seat,جایگاه
concerns,نگرانی ها
color,رنگ
vendor,فروشنده
originally,در اصل
intel,این کشور
utilities,خدمات رفاهی
philosophy,فلسفه
regulation,مقررات
officers,مأمورین
reduction,کاهش
aim,هدف
bids,پیشنهادات
referred,معرفی شده
supports,حمایت
nutrition,تغذیه
recording,ضبط
regions,مناطق
junior,جوان
toll,عوارض
les,لس
cape,کیپ
ann,آن آن آن را
rings,حلقه
meaning,معنی
tip,نکته
secondary,ثانوی
wonderful,عالی
mine,مال خودم
ladies,خانم ها
henry,هانری
ticket,بلیط
announced,اعلام شده
guess,حدس بزن
agreed,موافق
prevention,جلوگیری
whom,چه کسی
ski,اسکی
soccer,فوتبال
math,ریاضی
import,وارد كردن
posting,ارسال
presence,حضور
instant,فوری
mentioned,ذکر شده
automatic,خودکار
healthcare,مراقبت های بهداشتی
viewing,مشاهده
maintained,نگهداری
ch,چاک
increasing,در حال افزایش
majority,اکثریت
connected,متصل
christ,مسیح
dan,عیایه
dogs,سگ ها
sd,SD
directors,مدیران
aspects,جنبه های
austria,اتریش
ahead,در پیش
moon,ماه
participation,مشارکت
scheme,طرح
utility,سودمندی
preview,پیش نمایش
fly,پرواز
manner,شیوه
matrix,ماتریس
containing,حاوی
combination,ترکیب
devel,توسعه
amendment,اصلاحیه
despite,با وجود
strength,استحکام - قدرت
guaranteed,تضمین
turkey,بوقلمون
libraries,کتابخانه
proper,مناسب
distributed,توزیع شده
degrees,درجه
singapore,سنگاپور
enterprises,شرکت
delta,دلتا
fear,ترس
seeking,به دنبال
inches,اینچ
phoenix,ققنوس
rs,RS
convention,قرارداد
shares,سهام
principal,اصلی
daughter,فرزند دختر
standing,ایستاده
voyeur,فضول
comfort,راحتی
colors,رنگ
wars,جنگ
cisco,سیسکو
ordering,مرتب سازی
kept,نگهدار
alpha,الفا
appeal,درخواست
cruise,کشتی تفریحی
bonus,جایزه
certification,مجوز
previously,قبلا
hey,سلام
bookmark,علامت
buildings,ساختمان
specials,ویژه
beat,ضرب و شتم
disney,دیزنی
household,خانواده
batteries,باتری
adobe,خشت
smoking,سیگار کشیدن
bbc,بی بی سی
becomes,تبدیل می شود
drives,درایو
arms,سد
alabama,آلاباما
tea,چای
improved,بهبود یافته
trees,درختان
avg,با منزل کردن
achieve,رسیدن
positions,مواضع
dress,لباس
subscription,اشتراک، ابونمان
dealer,فروشنده - دلال
contemporary,امروزی
sky,آسمان
utah,یوتا
nearby,در نزدیکی
rom,رام
carried,انجام
happen,به وقوع پیوستن
exposure,قرار گرفتن در معرض بیماری
panasonic,پاناسونیک
hide,پنهان شدن
permalink,پیوند ثابت
signature,امضاء
gambling,قمار
refer,مراجعه کنید
miller,عظیم
provision,تدارک
outdoors,بیرون از خانه
clothes,لباس ها
caused,باعث
luxury,لوکس
babes,بچه
frames,قاب
viagra,وراگرا
certainly,قطعا
indeed,در واقع
newspaper,روزنامه
toy,اسباب بازی
circuit,جریان
layer,لایه
printed,چاپ شده
slow,آهسته. تدریجی
removal,حذف
easier,آسان تر
src,SRC
liability,مسئولیت
trademark,علامت تجاری
hip,باسن
printers,چاپگرها
faqs,متداول
nine,نه
adding,اضافه كردن
kentucky,وابسته به کنتاکی
mostly,اغلب
eric,اریک
spot,نقطه
taylor,تیلور
trackback,پیگیری بازگشت
prints,چاپ
spend,خرج کردن
factory,کارخانه
interior,داخلی
revised,اصلاح شده
grow,رشد
americans,آمریکایی ها
optical,نوری
promotion,ترویج
relative,نسبت فامیلی
amazing,حیرت آور
clock,ساعت
dot,نقطه
hiv,اچ‌آی‌وی
identity,هویت
suites,سوئیت
conversion,تبدیل
feeling,احساس
hidden,پنهان
reasonable,معقول
victoria,ویکتوریا
serial,سریال
relief,تسکین
revision,تجدید نظر
broadband,پهنای باند
influence,نفوذ
ratio,نسبت
pda,PDA
importance,اهمیت
rain,باران
onto,به سوی
dsl,DSL
planet,سیاره
webmaster,مدیر وب سایت
copies,کپی
recipe,دستور آشپزی
zum,Zum
permit,مجوز
seeing,دید
proof,اثبات
dna,DNA
diff,فرق
tennis,تنیس
bass,صدای بم
prescription,نسخه
bedroom,اتاق خواب
empty,خالی
instance,نمونه، مثال
hole,سوراخ
pets,حیوانات اهلی
ride,سوار شدن
licensed,دارای مجوز
orlando,ارهلندو
specifically,به طور مشخص
tim,تناوب
bureau,دفتر
maine,ماین
sql,SQL
represent,نماینده
conservation,حفاظت
pair,جفت
ideal,ایده آل
specs,مشخصات
recorded,ثبت شده
don,دانستن
pieces,قطعات
finished,تمام شده
parks,پارک
dinner,شام
lawyers,وکلا
sydney,سیدنی
stress,فشار
cream,کرم رنگ
ss,SS
runs,دویدن
trends,روند
yeah,بله
discover,كشف كردن
sexo,سکسو
ap,AP
patterns,الگوهای
boxes,جعبه ها
louisiana,لوئیزیانا
hills,تپه
javascript,جاذب
fourth,چهارم
nm,NM
advisor,مشاور
mn,منگنه
marketplace,بازار
nd,در
evil,بد
aware,آگاه
wilson,ویلسون
shape,شکل
evolution,سیر تکاملی
irish,ایرلندی
certificates,گواهینامه ها
objectives,اهداف
stations,ایستگاه ها
suggested,پیشنهادی
gps,GPS
op,رفیق
remains,باقی
acc,ضخامت
greatest,بزرگترین
firms,شرکت
concerned,نگران
euro,یورو
operator,اپراتور
structures,سازه های
generic,عمومی
encyclopedia,دانشنامه
usage,استفاده
cap,کلاه لبه دار
ink,جوهر
charts,نمودار
continuing,ادامه دهنده
mixed,مخلوط
census,سرشماری
interracial,وابسته به نژادی
peak,اوج
tn,TN
competitive,رقابتی
exist,وجود داشتن
wheel,چرخ
transit,عبور
dick,دیک
suppliers,تهیه کننده
salt,نمک
compact,فشرده - جمع و جور
poetry,شعر
lights,چراغ
tracking,پیگیری
angel,فرشته
bell,زنگوله
keeping,نگهدار
preparation,آماده سازی
attempt,تلاش
receiving,دریافت کننده
matches,مسابقات
accordance,موافقت
width,عرض
noise,سر و صدا
engines,موتورهای
forget,فراموش کردن
array,آرایه
discussed,مورد بحث
accurate,دقیق
stephen,استفان
elizabeth,الیزابت
climate,اقلیم
reservations,تعالی
pin,پین کردن
playstation,پلی استیشن
alcohol,الکل
greek,یونانی
instruction,دستورالعمل
managing,مدیریت
annotation,حاشیه نویسی
sister,خواهر
raw,خام
differences,تفاوت
walking,پیاده روی
explain,توضیح
smaller,کوچکتر
newest,جدیدترین
establish,تاسيس كردن
gnu,گون
happened,اتفاق افتاده
expressed,بیان
jeff,جف
extent,میزان
sharp,تیز
lesbians,لزبین
ben,سعادت
lane,مسیر
paragraph,پاراگراف
kill,کشتن
mathematics,ریاضیات
aol,AOL
compensation,جبران خسارت
ce,در نظر گرفتن
export,صادر کردن
managers,مدیران
aircraft,هواپیما
modules,ماژول
sweden,سوئد
conflict,تعارض
conducted,انجام شده
versions,نسخه
employer,کارفرما
occur,به وقوع پیوستن
percentage,درصد
knows,می داند
mississippi,میتس میشسیپی
describe,توصیف کردن
concern,نگرانی
backup,پشتیبان گیری
requested,خواسته
citizens,شهروندان
connecticut,کانکتیکات
heritage,میراث
personals,شخص
immediate,فوری
holding,دارایی
trouble,مشکل
spread,گسترش
coach,مربی
kevin,کوین
agricultural,کشاورزی
expand,بسط دادن
supporting,حامی
audience,حضار
assigned,اختصاص داده
jordan,اردن
collections,مجموعه ها
ages,سنین
participate,شرکت کردن
plug,وصل کردن
specialist,متخصص
cook,پختن
affect,تاثیر می گذارد
virgin,باکره
experienced,با تجربه
investigation,تحقیق و بررسی
raised,بلند شده
hat,کلاه
institution,موسسه، نهاد
directed,جهت دار
dealers,فروشندگان
searching,جستجوکردن
sporting,ورزشی
helping,کمک
perl,درشت
affected,متأثر، تحت تأثیر، دچار، مبتلا
lib,لیبی
bike,دوچرخه
totally,کاملا
plate,بشقاب
expenses,هزینه ها
indicate,نشان دادن
blonde,طلایی
ab,اب
proceedings,اقدامات
favorite,مورد علاقه
transmission,انتقال
anderson,اندرسون
utc,UTC
characteristics,مشخصات
der,در
lose,از دست دادن
organic,ارگانیک. آلی
seek,دنبال کردن
experiences,تجربیات
albums,آلبوم
cheats,تقلب
extremely,بسیار
verzeichnis,verzeichnis
contracts,قرارداد
guests,میهمانان
hosted,میزبان
diseases,بیماری
concerning,مربوط به
developers,توسعه دهنده
equivalent,معادل
chemistry,علم شیمی
tony,تونی
neighborhood,محاصره
nevada,نوادا
kits,کیت
thailand,تایلند
variables,متغیرها
agenda,دستور جلسه
anyway,به هر حال
continues,ادامه
tracks,آهنگ های
advisory,مشورتی
cam,طب مکمل و جایگزین
curriculum,برنامه تحصیلی
logic,منطق
template,قالب
prince,شاهزاده
circle,دایره
soil,خاک
grants,کمکهای مالی
anywhere,هر جا
psychology,روانشناسی
responses,پاسخ
atlantic,اقیانوس اطلس
wet,خیس
circumstances,موقعیت
edward,ادوارد
investor,سرمایه گذار
identification,شناسایی
ram,رم
leaving,ترک
wildlife,حیات وحش
appliances,لوازم
matt,مات
elementary,ابتدایی
cooking,پخت و پز
speaking,صحبت كردن
sponsors,حامی
fox,روباه
unlimited,نامحدود
respond,پاسخ دادن
sizes,اندازه
plain,جلگه
exit,خروج
entered,وارد شد
iran,ایران
arm,بازو
keys,کلیدی
launch,راه اندازی
wave,موج
checking,چک کردن
costa,کاستا
belgium,بلژیک
printable,قابل چاپ
holy,مقدس
acts,اعمال
guidance,راهنمایی
mesh,مش
trail,دنباله
enforcement,اجرای
symbol,سمبل
crafts,صنایع دستی
highway,بزرگراه
buddy,دوست
hardcover,گالینگور
observed,مشاهده شده
dean,معاون
setup,برپایی
poll,رأی گیری
booking,رزرو
glossary,واژه نامه
fiscal,مالی
celebrity,فرد مشهور
styles,سبک
denver,دنور
unix,یونیکس
filled,پر شده
bond,رابطه، رشته
channels,کانال
ericsson,اریسسون
appendix,ضمیمه
notify,اعلام کردن
blues,بلوز
chocolate,شکلات
pub,میخانه
portion,بخش
scope,محدوده
hampshire,هامپشایر
supplier,تامین کننده
cables,کابل
cotton,پنبه
bluetooth,بلوتوث
controlled,کنترل شده
requirement,الزام
authorities,مسئولین
biology,زیست شناسی
dental,دندانی
killed,کشته شده
border,مرز
ancient,کهن
debate,مناظره
representatives,نمایندگان
starts,شروع می شود
pregnancy,بارداری
causes,دلیل
arkansas,آرکانزاس
biography,زندگینامه
leisure,اوقات فراغت
attractions,جاذبه
learned,یادگار
transactions,معاملات
notebook,نوت بوک
explorer,کاوشگر
historic,تاریخی
attached,وابسته
opened,باز شده
tm,TM
husband,شوهر
disabled,معلول
authorized,مجاز
crazy,دیوانه
upcoming,آینده
britain,بریتانیا
concert,کنسرت
retirement,بازنشستگی
scores,امتیازات
financing,تأمین مالی
efficiency,بهره وری
sp,چرند
comedy,کمدی
adopted,پذیرفته شده
efficient,کارآمد
weblog,وبلاگ
linear,خطی
commitment,تعهد
specialty,تخصصی
bears,خرس
jean,جین
hop,هاپ
carrier,حامل
edited,ویرایش شده
constant,ثابت
visa,ویزا
mouth,دهان
jewish,یهودی
meter,اندازه
linked,مرتبط
portland,پورتلند
interviews,مصاحبه
concepts,مفاهیم
nh,NH
gun,اسلحه
reflect,بازتاب دادن
pure,خالص
deliver,ارائه
wonder,تعجب
hell,جهنم
lessons,درس ها
fruit,میوه
begins,شروع می شود
qualified,واجد شرایط
reform,اصلاح
lens,لنز
alerts,هشدارها
treated,تحت درمان
discovery,کشف
draw,قرعه کشی
mysql,mysql
classified,طبقه بندی شده
relating,مربوط
assume,فرض
confidence,اعتماد به نفس
alliance,اتحاد
fm,FM
confirm,تایید
warm,گرم
neither,هیچ کدام
lewis,لوئیس
howard,هاوارد
offline,آفلاین
leaves,برگها
engineer,مهندس
lifestyle,سبک زندگی
consistent,استوار
replace,جایگزین کردن
clearance,ترخیص کالا از گمرک
connections,اتصالات
inventory,فهرست
converter,مبدل
suck,مکیدن
organisation,سازمان
babe,عزیزم
checks,چک
reached,برخاست
becoming,بدنام
blowjob,از هم خوردن
safari,سافاری
objective,هدف، واقعگرایانه
indicated,نشان داد
sugar,قند
crew,خدمه
legs,پاها
sam,سام
stick,چوب
securities,اوراق بهادار
allen,الن
pdt,PDT
relation,رابطه
enabled,فعال
genre,ژانر. دسته
slide,لغزش
montana,مونتانا
volunteer,داوطلب
tested,مورد آزمایش
rear,عقب
democratic,دموکراتیک
enhance,تقویت کردن
switzerland,سوئیس
exact,دقیق
bound,مقید
parameter,پارامتر
adapter,آداپتور
processor,پردازنده
node,گره
formal,رسمی
dimensions,ابعاد
contribute,مشارکت
lock,قفل کردن
hockey,هاکی
storm,طوفان
micro,کوچک
colleges,دانشکده ها
laptops,لپ تاپ
mile,مایل
showed,نشان داد
challenges,چالش ها
editors,ویرایشگر
mens,مرد
threads,موضوعات
bowl,کاسه
supreme,عالی
brothers,برادران
recognition,به رسمیت شناختن
presents,هدیه
ref,مرجع
tank,مخزن
submission,ارسال
dolls,عروسک ها
estimate,تخمین زدن
encourage,تشويق كردن
navy,نیروی دریایی
kid,بچه
regulatory,تنظیم کننده
inspection,بازرسی
consumers,مصرف کننده
cancel,لغو کردن
limits,محدودیت
territory,قلمرو
transaction,معامله
manchester,منچستر
weapons,سلاح
paint,رنگ
delay,تاخیر انداختن
pilot,خلبان
outlet,پریز
contributions,مشارکت
continuous,مداوم
db,DB
czech,کشور چک
resulting,حاصل
cambridge,کوربریج
initiative,ابتکار عمل
novel,رمان
pan,ماهی تابه
execution,اجرا
disability,ناتوانی
increases,افزایش
ultra,فوق العاده
winner,برنده
idaho,ادماهو
contractor,پیمانکار
ph,PH
episode,قسمت
examination,معاینه
potter,سفالی
dish,ظرف
plays,نمایشنامه
bulletin,بولتن
ia,عید
pt,PT
indicates,نشان می دهد
modify,تغییر
oxford,در آکسفورد
adam,آدم
truly,براستی
epinions,اشیاء
painting,رنگ آمیزی
committed,متعهد
extensive,گسترده
affordable,مقرون به صرفه
universe,کائنات
candidate,نامزد
databases,دیتابیس
patent,ثبت اختراع
slot,اسلات
psp,PSSP
outstanding,برجسته
ha,هکتار
eating,غذا خوردن
perspective,چشم انداز
planned,برنامه ریزی شده
watching,تماشا کردن
lodge,کلبه
messenger,پیام رسان
mirror,آینه
tournament,مسابقات
consideration,توجه
ds,DS
discounts,تخفیف
sterling,استرینگ
sessions,جلسات
kernel,هسته
boobs,مشاعره
stocks,سهام
buyers,خریداران
journals,مجله
gray,خاکستری
catalogue,کاتالوگ
ea,اچ
jennifer,جنیفر
antonio,وابسته به آنتونیو
charged,متهم
broad,گسترده
taiwan,تایوان
und,UND
chosen,انتخاب شده
demo,نسخه ی نمایشی
greece,یونان
lg,ال جی
swiss,سوئیس
sarah,سارا
clark,کلارک
labor,کار یدی
hate,نفرت
terminal,پایانه
publishers,ناشران
nights,شب
behalf,از طرف
caribbean,کارائیب
liquid,مایع
rice,برنج
nebraska,نبراسکا
loop,حلقه
salary,حقوق
reservation,رزرو
foods,خوراکی ها
gourmet,خوشی
guard,نگهبان
properly,به درستی
orleans,زبان اورلندی
saving,صرفه جویی در
nfl,NFL
remaining,باقی مانده
empire,امپراتوری
resume,از سرگیری
twenty,بیست
newly,تازه
raise,بالا بردن
prepare,آماده کردن
avatar,نماد
gary,گاری
depending,وابسته
illegal,غیر مجاز
expansion,گسترش
vary,متفاوت
hundreds,صدها
rome,رم
arab,عرب
lincoln,لینکلن
helped,کمک کرد
premier,برتر
tomorrow,فردا
purchased,خریداری شده
milk,شیر
decide,تصميم گرفتن
consent,رضایت دادن
drama,نمایش
visiting,بازدید
performing,اجرا
downtown,مرکز شهر
keyboard,صفحه کلیدی
contest,مشاجره
collected,جمع آوری شده
nw,NW
bands,گروه
boot,چکمه
suitable,مناسب
ff,ff
absolutely,کاملا
millions,میلیون ها
lunch,ناهار
dildo,دیلدو
audit,حسابرسی
push,فشار دادن
chamber,محفظه - اتاق
guinea,وابسته به گینه
findings,یافته ها
muscle,ماهیچه
featuring,برجسته
iso,ایزو
implement,پیاده سازی
clicking,کلیک کردن
scheduled,برنامه ریزی شده
polls,رأی گیری
typical,معمول
tower,برج
yours,مال شما
sum,جمع
misc,متفرقه
calculator,ماشین حساب
significantly,به طور قابل ملاحظه
chicken,جوجه
temporary,موقت
attend,مراجعه كردن
shower,دوش
alan,الن
sending,در حال ارسال
jason,جیسون
tonight,امشب
dear,عزیز
sufficient,کافی
holdem,نگهدار
shell,پوسته
province,استان
catholic,کاتولیک
oak,بلوط
vat,گل
awareness,اطلاع
vancouver,ونکوور
governor,فرماندار
beer,آبجو
seemed,به نظر می رسید
contribution,مشارکت
measurement,اندازه گیری
swimming,شنا كردن
spyware,ظروف جاسوسی
formula,فرمول
constitution,قانون اساسي
packaging,بسته بندی
solar,خورشیدی
jose,خوی
catch,گرفتن
jane,جین
pakistan,پاکستانی
ps,PS
reliable,قابل اعتماد
consultation,مشورت
northwest,شمال غربی
sir,آقا
doubt,شک
earn,بدست آوردن
finder,یابنده
unable,ناتوان
periods,دوره
classroom,درس
tasks,وظایف
democracy,دموکراسی
attacks,حملات
kim,کیم
wallpaper,کاغذ دیواری
merchandise,کالا
const,محاصره کردن
resistance,مقاومت
doors,دره
symptoms,علائم
resorts,استراحتگاه
biggest,بزرگترین
memorial,یادبود
visitor,بازدید کننده
twin,دوقلو
forth,به پیش
insert,درج کردن
baltimore,بالتیمور
gateway,دروازه
ky,کوی
dont,اصرار کردن
alumni,فارغ التحصیلان
drawing,نقاشی
candidates,نامزدهای
charlotte,شارلوت
ordered,سفارش داده شده
biological,مربوط به زیست شناسی
fighting,دعوا کردن
transition,انتقال
happens,اتفاق افتاده
preferences,اولویت ها
spy,جاسوسی
romance,داستان عاشقانه
instrument,ابزار
bruce,بروس
split,شکاف
themes,مضامین
powers,قدرت
heaven,بهشت
br,بید
bits,بیت
pregnant,باردار
twice,دو برابر
classification,طبقه بندی
focused,متمرکز
egypt,مصر
physician,پزشک
hollywood,هالیوود
bargain,چانه زدن
wikipedia,ویکیپدیا
cellular,سلولی
norway,نروژ
vermont,ورمونت
asking,درخواست
blocks,بلوک
normally,بطور عادی
lo,با
spiritual,معنوی
hunting,شکار
diabetes,دیابت
suit,کت و شلوار
ml,مولکول
shift,تغییر مکان
chip,تراشه
res,سر
sit,نشستن
bodies,بدن
photographs,عکسها
cutting,برش دادن
wow,وای
simon,سیمون
writers,نویسندگان
marks,نشان
flexible,قابل انعطاف
loved,دوست داشتنی
favorites,نفع
mapping,نقشه برداری
numerous,متعدد
relatively,به طور نسبی
birds,پرنده ها
satisfaction,رضایت
represents,نماینده
char,شغلی
indexed,فهرست شده
pittsburgh,پیتسبورگ
superior,برتر
preferred,ارجح
saved,ذخیره
paying,پرداخت کننده
cartoon,کارتون
shots,عکس
intellectual,پر فکر
moore,مور
granted,اعطا شده
choices,انتخاب
carbon,کربن
spending,هزینه
comfortable,راحت
magnetic,مغناطیسی
interaction,اثر متقابل
listening,استماع
effectively,بطور مؤثر
registry,ثبت
crisis,بحران
outlook,چشم انداز
massive,عظیم
denmark,دانمارک
employed,به کار گرفته شده
bright,روشن
treat,درمان شود
header,سرتیتر
cs,CS
poverty,فقر
formed,شکل گرفت
piano,پیانو
echo,پژواک
que,صف
grid,توری
sheets,ورق
patrick,پاتریک
experimental,آزمایشی
puerto,پودو
revolution,انقلابی
consolidation,تحکیم
displays,نمایش
plasma,پلاسما
allowing,اجازه
earnings,درآمد
voip,روتوی
mystery,رمز و راز
landscape,چشم انداز
dependent,وابسته
mechanical,مکانیکی
journey,سفر
delaware,دلاور
bidding,پیشنهاد
consultants,مشاور
risks,خطرات
banner,پرچم
applicant,درخواست کننده
charter,منشور
fig,شکل
barbara,باربارا
cooperation,مشارکت
counties,شهرستان
acquisition,تحصیل
ports,درگاه
implemented,اجرا شده
sf,SF
directories,دایرکه
recognized,شناسایی شده
dreams,رویا
blogger,وبلاگ نویس
notification,اطلاع
kg,کیلوگرم
licensing,مجوز
stands,می ایستد
teach,تعلیم دادن
occurred,اتفاق افتاد
textbooks,کتابهای
rapid,سریع
pull,کشیدن
hairy,مودار
diversity,تنوع
cleveland,گندوست
ut,در
reverse,معکوس
deposit,سپرده
seminar,سمینار
investments,سرمایه گذاری
latina,لاتینا
nasa,ناسا
wheels,چرخ ها
sexcam,سکس
specify,مشخص كردن
accessibility,دسترسی
dutch,هلندی
sensitive,حساس
templates,الگوهای
formats,قالبها
tab,زبانه
depends,بستگی دارد
boots,چکمه
holds,دارای
router,روتر
concrete,بتن
si,si
editing,ویرایش
poland,لهستان
folder,پوشه
womens,زنان
css,CSS
completion,تکمیل
upload,بارگذاری
pulse,نبض
universities,دانشگاه ها
technique,تکنیک
contractors,پیمانکاران
milfhunter,مروارید
voting,رای گیری
courts,دادگاه
notices,اعلامیه ها
subscriptions,اشتراک
calculate,محاسبه
mc,مگس
detroit,دیترویت
alexander,اسکندر
broadcast,پخش
converted,تبدیل شده
metro,مترو
toshiba,توشیبا
anniversary,سالگرد
